Drug Name,Article Content,Side Effects
Adalimumab,"How to say adalimumab: AH-dah-lee-mu-mab. Adalimumab is a biological medicine. This means it's made from proteins or other substances produced by the body. It's used to reduce swelling (inflammation) by acting on your immune system. Adalimumab is used to treat inflammation of the: joints ( rheumatoid arthritis , polyarticular juvenile idiopathic arthritis and active enthesitis-related arthritis) skin (plaque psoriasis and hidradenitis suppurativa ) joints and skin ( psoriatic arthritis ) spine, causing back pain (axial spondyloarthritis and ankylosing spondylitis ) gut and ulcers in the lining of the gut ( Crohn's disease and ulcerative colitis ) layer beneath the white of the eyeball (non-infectious uveitis ) Humira is the brand name of the original adalimumab medicine. There are now 5 newer versions of adalimumab, known by the brand names Amgevita, Hyrimoz, Idacio, Imraldi and Yuflyma. These newer medicines are biosimilars. A biosimilar is a similar version of the original biological medicine. It works in the same way, by blocking part of your immune system to reduce inflammation. If you switch, your body should respond the same way as if you'd stayed on Humira. You should not notice any difference. Adalimumab is available on prescription. It comes as a pre-filled syringe or an injection pen that you inject under the skin. If you're switching from Humira to a different brand of adalimumab, the way the injection pen or syringe works might be different. Key facts Adalimumab is given by an injection under your skin. It works by blocking part of your immune system to reduce inflammation. It takes a few weeks for adalimumab to work. It may take longer depending on your condition. Adalimumab can make you more likely to get infections. Tell your doctor if you get an infection, such as coronavirus (COVID-19), or if you come into contact with anyone who has shingles, chickenpox or measles. These infections can make you very ill. If you need to have a vaccine, ask your doctor or pharmacist whether it's a live vaccine and if there's an alternative inactivated vaccine available. Adalimumab may increase the risk of getting an infection caused by a live vaccine. You might feel dizzy or have blurred vision after taking adalimumab. If you have any of these symptoms, do not drive, cycle or use machinery or tools. When you start taking adalimumab you'll be given a patient alert card. Carry this with you all the time. It tells healthcare professionals that you're taking adalimumab. If you do not have a patient alert card, you can ask your specialist for one.",
Allopurinol,"Allopurinol is a medicine used to lower levels of uric acid in your blood. If you produce too much uric acid or your kidneys do not filter enough out, it can build up and cause tiny, sharp crystals. These crystals can form around your joints, which cause the swollen and painful symptoms of gout . Crystals can also collect inside the kidneys and damage them. It may also be prescribed if you're having some types of cancer treatment. Some treatments can cause a build-up of uric acid. Allopurinol comes as tablets and is only available on prescription. Key facts It may take several months before you feel the full benefit of allopurinol. During the first few months of treatment, as allopurinol starts to work, you may get more gout attacks. However, your doctor will prescribe an NSAID such as ibuprofen, or colchicine to help with this. Drinking too much alcohol can increase the level of uric acid in your blood. This could make your gout worse. When you take allopurinol regularly, it can lower the number of gout attacks and help prevent damage to the joints. Usually, you'll start allopurinol after an acute attack of gout has completely settled.",
Alogliptin,"Alogliptin is a medicine used to treat type 2 diabetes . Type 2 diabetes is a condition where the body does not make enough insulin, or the insulin that it makes does not work properly. This can cause high blood sugar levels ( hyperglycaemia ). Alogliptin is prescribed for people who still have high blood sugar, even though they have a sensible diet and exercise regularly. It works by increasing the amount of insulin that your body makes. Insulin is the hormone that controls sugar levels in your blood. Alogliptin is only available on prescription. It comes as tablets that you swallow. It also comes as tablets containing a mixture of alogliptin and another diabetes medicine called metformin . This is known by the brand name Vipdomet. Key facts Alogliptin starts to work within a few hours. You need to take it every day to make sure your blood sugar stays as stable as possible. You take alogliptin once a day. The most common side effects of alogliptin are headaches, indigestion, diarrhoea and skin rashes. This medicine does not usually make you put on weight. If you have diabetes , you're entitled to free prescriptions for all of your medicines, not just your diabetes ones.","The most common side effects of alogliptin are headaches, indigestion, diarrhoea and skin rashes."
Amlodipine,"Amlodipine is a calcium channel blocker used to treat high blood pressure (hypertension) . If you have high blood pressure, taking amlodipine can help to prevent future heart disease , heart attacks and strokes . It is also used to prevent chest pain caused by heart disease ( angina ). Amlodipine helps high blood pressure by relaxing and widening blood vessels. This lowers your blood pressure and makes it easier for your heart to pump blood around your body. With angina, you usually get chest pain because the arteries going to the heart have become hardened and narrowed. Amlodipine helps by improving the blood and oxygen supply to your heart. This medicine is only available on prescription. It comes as tablets or as a liquid you swallow. Key facts You'll usually take amlodipine once a day. You can take it at any time, but try to make sure it's around the same time each day. Amlodipine can make some people feel dizzy. If this happens to you, do not drive a car, ride a bike, or use tools or machinery until you feel better. The most common side effects include headaches, flushing, feeling tired and swollen ankles. These usually improve after a few days. Amlodipine can also be called amlodipine besilate, amlodipine maleate or amlodipine mesilate. They have different ingredients but they all work as well as each other. Having large amounts of grapefruit or grapefruit juice can increase the amount of amlodipine in your body and make side effects worse.","The most common side effects include headaches, flushing, feeling tired and swollen ankles. These usually improve after a few days."
Anastrozole,"Anastrozole is a medicine that works by lowering the level of oestrogen (a hormone) in your body. It's mainly prescribed for women who have been through the menopause and have a type of cancer called hormone-dependent breast cancer. Most people who take anastrozole will have had surgery, radiotherapy or sometimes chemotherapy to treat their breast cancer first. Anastrozole is an additional (adjuvant) treatment which helps stop the cancer coming back. It can also be used: to prevent breast cancer if you're high risk and have been through the menopause to treat breast cancer in men to treat breast cancer in younger women before the menopause Anastrozole is available on prescription only. It comes as tablets. Key facts You usually take anastrozole once a day. Try to take it at the same time each day, as this makes it easier to remember. Most people take anastrozole for 5 years. It's important to complete your course of treatment. Common side effects include symptoms similar to the menopause such as hot flushes, difficulty sleeping, tiredness and low mood. They usually improve after a few months. Your doctor will monitor your cholesterol levels and bone density during your treatment. If anastrozole makes you feel tired or dizzy, do not drive a car, ride a bike, or use tools or machinery until you feel better.",
Apixaban,"Apixaban is a type of medicine known as an anticoagulant. It makes your blood flow through your veins more easily, which means your blood is less likely to make blood clots. It's used to treat people who have had a health problem caused by a blood clot, such as: a blood clot in the leg ( deep vein thrombosis, or DVT ) a blood clot in the lungs ( pulmonary embolism ) It's also used to prevent blood clots if you're at high risk of having them in the future. People who are at high risk include those who: have previously had a stroke or transient ischaemic attack (TIA) have an irregular heartbeat ( atrial fibrillation ) have heart failure have recently had surgery to replace a hip or knee joint Apixaban is only available on prescription. It comes as tablets. Key facts You'll usually take apixaban twice a day. You can take it with or without food. The most common side effect of apixaban is bleeding more easily than normal, such as having nosebleeds, heavier periods, bleeding gums and bruising. Your doctor or pharmacist will give you an anticoagulant alert card. Always carry this with you. Show it to your doctor or dentist before you have surgery or dental treatment. It's important they know you're taking apixaban, as it may put you at risk of bleeding. You can drink alcohol while taking apixaban. But heavy drinking, especially binge drinking, can increase the effect of apixaban and make you more likely to bleed.",
Aripiprazole,"Aripiprazole is a medicine that helps with mental health conditions such as: schizophrenia , where you may see, hear or feel things that are not there, believe things that are not true, feel unusually suspicious, or have muddled thoughts the mania symptoms of bipolar disorder , where your mood changes from feeling highly excited (mania) to feeling very low (depression) It's an antipsychotic medicine that works by affecting chemicals in your brain such as dopamine and serotonin. It does not cure your condition, but it can help with the symptoms. Aripiprazole is only available on prescription. It comes as tablets, including tablets that melt in your mouth (orodispersible tablets), and a liquid that you swallow. It can also be given as an injection. Key facts Aripiprazole does not work straight away. It can take several days or even weeks for some of your symptoms to start to get better. You can take aripiprazole tablets or liquid with or without food. Try to take it around the same time each day. Common side effects include difficulty sleeping, feeling anxious and restless, headaches and constipation. Aripiprazole can affect your impulse control, so you may find you have urges to do things like gambling, spending too much or eating too much, or you may have an increased sex drive. Speak to your doctor if you notice these types of changes in your behaviour. Aripiprazole may make you lose weight or put on weight. If you find it makes you feel more hungry than usual, eating a healthy, balanced diet will help prevent problems with your weight. It's best not to drink alcohol while taking aripiprazole. Drinking alcohol with aripiprazole can make you feel sleepy or unsteady, and can make your symptoms worse.",
Aspirin-for-pain-relief,"Aspirin is an everyday painkiller for aches and pains such as headache , toothache and period pain . It can also be used to treat colds and flu-like symptoms , and to bring down a high temperature. Aspirin is known as an acetylsalicylic acid. It also belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). Aspirin combined with other ingredients is also available in some cold and flu remedies. You can buy most types of aspirin from pharmacies, shops and supermarkets. Some types are only available on prescription. Aspirin comes as tablets or suppositories – medicine that you push gently into your anus (bottom). It also comes as a gel for mouth ulcers and cold sores. If you've had a stroke or heart attack, or are at high risk of a heart attack, your doctor may recommend that you take a daily low-dose aspirin. Some women may also be prescribed low-dose aspirin while they’re pregnant. This is different to taking aspirin for pain relief. Only take low-dose aspirin if your doctor recommends it. Read our information on low-dose aspirin . Key facts It's best to take aspirin with food. That way, you'll be less likely to get an upset stomach or stomach ache. Never give aspirin to children under the age of 16 (unless their doctor prescribes it). It can make children more likely to develop a very rare but serious condition called Reye's syndrome. You should start to feel better 20 to 30 minutes after taking aspirin. Aspirin is an ingredient in combined medicines such as Anadin Original, Anadin Extra, Alka-Seltzer Original, Alka-Seltzer XS and Beechams Powders. Aspirin as a mouth gel has the brand name Bonjela. Like other aspirin products, it's only for people aged 16 and over. Bonjela Teething Gel and Bonjela Junior Gel do not contain aspirin, so you can give them to children under 16.",
Atenolol,"Atenolol is a beta blocker medicine, used to treat high blood pressure (hypertension) and irregular heartbeats ( arrhythmia ). If you have high blood pressure, taking atenolol helps prevent future heart disease, heart attacks and strokes . It can also be used to prevent chest pain caused by angina . Atenolol works by slowing down your heart rate, making it easier for your heart to pump blood around your body. Atenolol is sometimes prescribed to prevent migraines and help with anxiety . This medicine is only available on prescription. It comes as tablets or as a liquid that you swallow. It can also be given as an injection, but this is usually done in hospital. Atenolol can also be mixed with other medicines such as nifedipine (brand name Tenif). It it's mixed with chlortalidone it's called co-tenidone or by the brand names Tenoret or Tenoertic. Key facts Atenolol can make you feel dizzy, sick or tired and can cause diarrhoea. These side effects are usually mild and do not last long. Your very first dose of atenolol may make you feel dizzy, so take it at bedtime. After that, if you do not feel dizzy, you can take it in the morning. If you're taking atenolol for high blood pressure it may not make you feel any different. This does not mean it's not working, so it's important to keep taking your medicine. If atenolol makes you feel dizzy, do not drive a car, ride a bike, or use tools or machinery until you feel better. Do not stop taking atenolol suddenly, especially if you have heart disease. This can make your condition worse.",
Atorvastatin,"Atorvastatin belongs to a group of medicines called statins . It is used to lower cholesterol if you've been diagnosed with high blood cholesterol and prevent heart disease, including heart attacks and strokes . Your doctor may also prescribe atorvastatin if you have a family history of heart disease, or a long-term health condition such as type 1 or type 2 diabetes or rheumatoid arthritis . This medicine is available on prescription only. It comes as tablets, including chewable tablets for people who have difficulty swallowing. Key facts You'll usually take atorvastatin once a day. The most common side effects are headaches, feeling sick (nausea), diarrhoea and cold-like symptoms. Do not take atorvastatin if you're pregnant. If you take your medicine as your doctor prescribed, your cholesterol levels should drop within 4 weeks. Keep taking atorvastatin even if you feel well, as you will still be getting the benefits. Most people with high cholesterol do not have any symptoms. Try not to drink more than a litre of grapefruit juice a day. Too much of it can increase the level of atorvastatin in your blood. This can increase the risk of side effects.","The most common side effects are headaches, feeling sick (nausea), diarrhoea and cold-like symptoms."
